Analyzer,Year,PhotoID,Grid.ID,Depth,Replicate,Grid.No,Grid.Area.cm,Area.Covered.cm,SpeciesID,Species.Count,Org.Area.cm,Notes
Lucia,2014,100ft_Year2_Rep2(1).JPG,1_2_1,100,2,1,74.832,53.960,calcareous_tubeworm,4,0.326,Grid was hanging off the plate
Lucia,2014,100ft_Year2_Rep2(1).JPG,1_2_1,100,2,1,74.832,53.960,Lichenopora,28,2.254,Grid was hanging off the plate
Lucia,2014,100ft_Year2_Rep2(1).JPG,1_2_1,100,2,1,74.832,53.960,Crisia_sp,1,0.105,Grid was hanging off the plate
Lucia,2014,100ft_Year2_Rep2(2).JPG,1_2_2,100,2,2,75.868,62.941,calcareous_tubeworm,3,0.295,
Lucia,2014,100ft_Year2_Rep2(2).JPG,1_2_2,100,2,2,75.868,62.941,Lichenopora,42,2.949,
Lucia,2014,100ft_Year2_Rep2(3).JPG,1_2_3,100,2,3,76.873,35.851,calcareous_tubeworm,2,0.059,
Lucia,2014,100ft_Year2_Rep2(3).JPG,1_2_3,100,2,3,76.873,35.851,Lichenopora,52,1.870,
Lucia,2014,100ft_Year2_Rep2(4).JPG,1_2_4,100,2,4,92.857,65.317,Glebocarcinus_oregonensis,1,0.217,
Lucia,2014,100ft_Year2_Rep2(4).JPG,1_2_4,100,2,4,92.857,65.317,Lichenopora,15,0.767,
Lucia,2014,100ft_Year2_Rep2(5).JPG,1_2_5,100,2,5,91.772,70.112,Glebocarcinus_oregonensis,1,0.260,
Lucia,2014,100ft_Year2_Rep2(5).JPG,1_2_5,100,2,5,91.772,70.112,Lichenopora,9,0.387,
Lucia,2014,100ft_Year2_Rep2(6).JPG,1_2_6,100,2,6,86.988,67.052,Lichenopora,48,2.899,
Lucia,2014,100ft_Year2_Rep2(6).JPG,1_2_6,100,2,6,86.988,67.052,polychaete_sp,3,0.558,
Lucia,2014,100ft_Year2_Rep2(7).JPG,1_2_7,100,2,7,66.741,45.252,Lichenopora,15,0.504,
Lucia,2014,100ft_Year2_Rep2(8).JPG,1_2_8,100,2,8,63.987,44.496,Lichenopora,7,0.159,lots of small black dots on the bivalves and dead barnacles on this grid square
Lucia,2014,100ft_Year2_Rep2(8).JPG,1_2_8,100,2,8,63.987,44.496,Pododesmus_macrochisma,2,5.103,
Lucia,2014,100ft_Year2_Rep2(8).JPG,1_2_8,100,2,8,63.987,44.496,branched_bryozoan_sp,4,0.233,
Lucia,2014,100ft_Year2_Rep2 (9).JPG,1_2_9,100,2,9,70.008,48.616,branched_bryozoan_sp,1,1.983,
Lucia,2014,100ft_Year2_Rep2 (9).JPG,1_2_9,100,2,9,70.008,48.616,Lichenopora,21,1.465,
Lucia,2014,100ft_Year2_Rep2 (10).JPG,1_2_10,100,2,10,88.017,65.635,Ulva,2,9.943,
Lucia,2014,100ft_Year2_Rep2 (10).JPG,1_2_10,100,2,10,88.017,65.635,Lichenopora,22,1.413,
Lucia,2014,100ft_Year2_Rep2 (11).JPG,1_2_11,100,2,11,71.590,20.171,Ulva,2,16.981,total area covered did not account for the Ulva because it was difficult to capture this without also capturing the metal fixture 
Lucia,2014,100ft_Year2_Rep2 (11).JPG,1_2_11,100,2,11,71.590,20.171,Lichenopora,6,0.319,ring/hole on this grid
Lucia,2014,100ft_Year2_Rep2 (11).JPG,1_2_11,100,2,11,71.590,20.171,calcareous_tubeworm,1,0.291,
Lucia,2014,100ft_Year2_Rep2 (12).JPG,1_2_12,100,2,12,89.450,44.430,Lichenopora,6,0.489,
Lucia,2014,100ft_Year2_Rep2 (13).JPG,1_2_13,100,2,13,85.194,57.555,calcareous_tubeworm,2,0.921,
Lucia,2014,100ft_Year2_Rep2 (13).JPG,1_2_13,100,2,13,85.194,57.555,Lichenopora,10,0.873,
Lucia,2014,100ft_Year2_Rep2 (14).JPG,1_2_14,100,2,14,84.555,53.887,Lichenopora,13,1.164,
Lucia,2014,100ft_Year2_Rep2 (15).JPG,1_2_15,100,2,15,51.392,36.264,branched_bryozoan_sp,15,0.921,
