Analyzer,Year,PhotoID,Grid.ID,Depth,Replicate,Grid.No,Grid.Area.cm,Area.Covered.cm,SpeciesID,Species.Count,Org.Area.cm,Notes,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2(1).JPG,1_2_1,100,2,1,74.832,53.96,calcareous_tubeworm,4.000,0.326,Grid was hanging off the plate,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2(1).JPG,1_2_1,100,2,1,74.832,53.96,Lichenopora,28.000,2.254,Grid was hanging off the plate,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2(1).JPG,1_2_1,100,2,1,74.832,53.96,Crisia_sp,1.000,0.105,Grid was hanging off the plate,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2(2).JPG,1_2_2,100,2,2,75.868,62.941,calcareous_tubeworm,3.000,0.295,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2(2).JPG,1_2_2,100,2,2,75.868,62.941,Lichenopora,42.000,2.949,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2(3).JPG,1_2_3,100,2,3,76.873,35.851,calcareous_tubeworm,2.000,0.059,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2(3).JPG,1_2_3,100,2,3,76.873,35.851,Lichenopora,52.000,1.87,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2(4).JPG,1_2_4,100,2,4,92.857,65.317,Glebocarcinus_oregonensis,1.000,0.217,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2(4).JPG,1_2_4,100,2,4,92.857,65.317,Lichenopora,15.000,0.767,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2(5).JPG,1_2_5,100,2,5,91.772,70.112,Glebocarcinus_oregonensis,1.000,0.26,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2(5).JPG,1_2_5,100,2,5,91.772,70.112,Lichenopora,9.000,0.387,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2(6).JPG,1_2_6,100,2,6,86.988,67.052,Lichenopora,48.000,2.899,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2(6).JPG,1_2_6,100,2,6,86.988,67.052,polychaete_sp,3.000,0.558,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2(7).JPG,1_2_7,100,2,7,66.741,45.252,Lichenopora,15.000,0.504,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2(8).JPG,1_2_8,100,2,8,63.987,44.496,Lichenopora,7.000,0.159,lots of small black dots on the bivalves and dead barnacles on this grid square,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2(8).JPG,1_2_8,100,2,8,63.987,44.496,Pododesmus_macrochisma,2.000,5.103,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2(8).JPG,1_2_8,100,2,8,63.987,44.496,branched_bryozoan_sp,4.000,0.233,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (9).JPG,1_2_9,100,2,9,70.008,48.616,branched_bryozoan_sp,1.000,1.983,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (9).JPG,1_2_9,100,2,9,70.008,48.616,Lichenopora,21.000,1.465,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (10).JPG,1_2_10,100,2,10,88.017,65.635,Ulva,2.000,9.943,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (10).JPG,1_2_10,100,2,10,88.017,65.635,Lichenopora,22.000,1.413,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (11).JPG,1_2_11,100,2,11,71.59,20.171,Ulva,2.000,16.981,total area covered did not account for the Ulva because it was difficult to capture this without also capturing the metal fixture ,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (11).JPG,1_2_11,100,2,11,71.59,20.171,Lichenopora,6.000,0.319,ring/hole on this grid,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (11).JPG,1_2_11,100,2,11,71.59,20.171,calcareous_tubeworm,1.000,0.291,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (12).JPG,1_2_12,100,2,12,89.45,44.43,Lichenopora,6.000,0.489,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (13).JPG,1_2_13,100,2,13,85.194,57.555,calcareous_tubeworm,2.000,0.921,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (13).JPG,1_2_13,100,2,13,85.194,57.555,Lichenopora,10.000,0.873,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (14).JPG,1_2_14,100,2,14,84.555,53.887,Lichenopora,13.000,1.164,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (15).JPG,1_2_15,100,2,15,51.392,36.264,branched_bryozoan_sp,15.000,0.921,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (15).JPG,1_2_15,100,2,15,51.392,36.264,Lichenopora,8.000,0.436,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (16).JPG,1_2_16,100,2,16,56.336,37.65,Lichenopora,15.000,0.562,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (17).JPG,1_2_17,100,2,17,67.645,46.119,Ulva,1.000,3.405,blurry photo and grid hanging off plate,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (17).JPG,1_2_17,100,2,17,67.645,46.119,Glebocarcinus_oregonensis,1.000,0.358,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (17).JPG,1_2_17,100,2,17,67.645,46.119,Lichenopora,14.000,0.582,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (18).JPG,1_2_18,100,2,18,68.923,48.013,Pododesmus_macrochisma,3.000,7.018,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (18).JPG,1_2_18,100,2,18,68.923,48.013,Lichenopora,23.000,1.212,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (18).JPG,1_2_18,100,2,18,68.923,48.013,Ulva,1.000,2.488,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (18).JPG,1_2_18,100,2,18,68.923,48.013,calcareous_tubeworm,2.000,0.402,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (19).JPG,1_2_19,100,2,19,64.887,38.82,Lichenopora,22.000,1.457,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (19).JPG,1_2_19,100,2,19,64.887,38.82,Pododesmus_macrochisma,2.000,2.813,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (19).JPG,1_2_19,100,2,19,64.887,38.82,calcareous_tubeworm,4.000,1.165,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (20).JPG,1_2_20,100,2,20,58.065,36.401,Lichenopora,24.000,2.056,,,,,,,,,,,,,,,,,,
Lucia,2014,100ft_Year2_Rep2 (21)-1.JPG,1_2_21,100,2,21,52.522,36.854,Lichenopora,41.000,2.066,,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3.JPG,1_3_1,100,3,1,75.928,59.761,Lichenopora,5.000,0.311,Grid was hanging off the plate,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3.JPG,1_3_1,100,3,1,75.928,59.761,Glebocarcinus_oregonensis,1.000,0.258,curled up in dead barnacle,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (2).JPG,1_3_2,100,3,2,74.248,48.027,barnacle,1.000,1.047,,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (2).JPG,1_3_2,100,3,2,74.248,48.027,Phyllodoce_sp,1.000,0.426,,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (2).JPG,1_3_2,100,3,2,74.248,48.027,Lichenopora,22.000,1.713,,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (3).JPG,1_3_3,100,3,3,81.331,56.85,Lichenopora,15.000,0.949,lots of small black dots on the bivalves and dead barnacles on this grid square,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (3).JPG,1_3_3,100,3,3,81.331,56.85,barnacle,1.000,0.956,,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (4).JPG,1_3_4,100,3,4,85.029,52.043,Lichenopora,31.000,3.307,lots of small black dots on the bivalves and dead barnacles on this grid square,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (4).JPG,1_3_4,100,3,4,85.029,52.043,Glebocarcinus_oregonensis,1.000,0.364,,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (4).JPG,1_3_4,100,3,4,85.029,52.043,calcareous_tubeworm,3.000,1.453,,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (5).JPG,1_3_5,100,3,5,86.689,67.791,Lichenopora,74.000,8.42,lots of small black dots on the bivalves and dead barnacles on this grid square,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (5).JPG,1_3_5,100,3,5,86.689,67.791,calcareous_tubeworm,6.000,1.206,,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (6).JPG,1_3_6,100,3,6,81.134,52.969,Lichenopora,20.000,2.071,lots of small black dots on the bivalves and dead barnacles on this grid square,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (6).JPG,1_3_6,100,3,6,81.134,52.969,calcareous_tubeworm,3.000,0.872,,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (7b).JPG,1_3_7,100,3,7,76.744,51.234,Lichenopora,26.000,2.555,Grid was hanging off the plate,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (7b).JPG,1_3_7,100,3,7,76.744,51.234,calcareous_tubeworm,5.000,1.874,,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (8b).JPG,1_3_8,100,3,8,63.658,38.105,Lichenopora,38.000,3.354,Grid was hanging off plate; ID tag from next grid square encroaching (so two areas of tags,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (8b).JPG,1_3_8,100,3,8,63.658,38.105,calcareous_tubeworm,4.000,0.197,lots of small black dots on the bivalves and dead barnacles on this grid square,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (9).JPG,1_3_9,100,3,9,76.682,56.017,Lichenopora,31.000,4.585,,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (9).JPG,1_3_9,100,3,9,76.682,56.017,calcareous_tubeworm,8.000,0.809,some worms in both squares,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (10).JPG,1_3_10,100,3,10,78.471,50.452,Lichenopora,48.000,3.453,,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (10).JPG,1_3_10,100,3,10,78.471,50.452,calcareous_tubeworm,4.000,0.164,,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (10).JPG,1_3_10,100,3,10,78.471,50.452,barnacle,1.000,1.422,,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (11).JPG,1_3_11,100,3,11,80.556,36.733,Lichenopora,24.000,1.331,big rust ring around hole in the middle of this grid square,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (12).JPG,1_3_12,100,3,12,83.52,61.325,Lichenopora,47.000,3.1,,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (12).JPG,1_3_12,100,3,12,83.52,61.325,calcareous_tubeworm,7.000,0.891,,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (13).JPG,1_3_13,100,3,13,81.41,54.512,Lichenopora,39.000,3.286,,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (13).JPG,1_3_13,100,3,13,81.41,54.512,calcareous_tubeworm,10.000,1.325,,,,,,,,,,,,,,,,,,
Mollie,2014,100ft_Year2_Rep3 (14).JPG,1_3_14,100,3,14,83.587,52.101,Lichenopora,40.000,4.344,Grid was hanging off the plate,,,,,,,,,,,,,,,,,
