Analyzer,Year,PhotoID,Grid.ID,Depth,Replicate,Grid.No,Grid.Area.cm,Area.Covered.cm,SpeciesID,Species.Count,Org.Area.cm,Notes,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (1),3_1_1,300,1,1,81.368,48.692,calcareous_tubeworm,34,13.758,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (1),3_1_1,300,1,1,81.368,48.692,sabellariid_tubeworm,14,7.696,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (1),3_1_1,300,1,1,81.368,48.692,branched_bryozoan_sp,8,1.314,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (1),3_1_1,300,1,1,81.368,48.692,Pododesmus_macrochisma,1,1.728,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (1),3_1_1,300,1,1,81.368,48.692,Lichenopora,12,0.880,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (1),3_1_1,300,1,1,81.368,48.692,sabellariid_tubeworm,1,0.143,Kim's data sheet has sabellida as a polychete and as a tube worm? not sure,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (1),3_1_1,300,1,1,81.368,48.692,encrusting_bryozoan_sp,10,3.417,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (1),3_1_1,300,1,1,81.368,48.692,Demospongiae,2,1.130,demospongiae?,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (2),3_1_1,300,1,1,81.368,48.692,spirobis_sp,34,1.253,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (2),3_1_2,300,1,2,80.654,44.534,calcareous_tubeworm,44,15.095,missing some area for dark color-red worms,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (2),3_1_2,300,1,2,80.654,44.534,sabellariid_tubeworm,9,7.397,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (2),3_1_2,300,1,2,80.654,44.534,branched_bryozoan_sp,3,1.815,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (2),3_1_2,300,1,2,80.654,44.534,encrusting_bryozoan_sp,12,3.659,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (2),3_1_2,300,1,2,80.654,44.534,Lichenopora,12,0.527,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (2),3_1_2,300,1,2,80.654,44.534,Pododesmus_macrochisma,1,0.168,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (2),3_1_2,300,1,2,80.654,44.534,spirobis_sp,13,0.820,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (2),3_1_2,300,1,2,80.654,44.534,limpet,1,0.020,Tectura fenestrata ?,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (3b),3_1_3,300,1,3,86.217,51.208,calcareous_tubeworm,24,9.639,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (3b),3_1_3,300,1,3,86.217,51.208,sabellariid_tubeworm,4,8.312,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (3b),3_1_3,300,1,3,86.217,51.208,encrusting_bryozoan_sp,9,5.568,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (3b),3_1_3,300,1,3,86.217,51.208,Lichenopora,13,0.972,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (3b),3_1_3,300,1,3,86.217,51.208,branched_bryozoan_sp,2,0.412,,,,,,,,,,,,,,,,,
Mollie,2014,300ft_Year2_Rep1 (3b),3_1_3,300,1,3,86.217,51.208,limpet,1,0.065,,,,,,,,,,,,,,,,,
