SpeciesID,Phylum,Species_Group,Recode_for_MS,MS_Species_Group,Alias,Mobility,COMMON NAME (for reference) 
anemone_sp,Cnidaria,Anemone,anemone_sp,Anemone sp.,Anemone,Nonmotile,anemone OTHER THAN metridium or urticina
amphipod,Arthropoda,Amphipod/shrimp,errant_amphipod,Errant amphipod,Amphipod,Motile,small crustaceans that look like tiny shrimp [OMIT]
barnacle,Arthropoda,Barnacle,balanus_sp,Balanus sp.,Barnacle,Nonmotile,
branched_bryozoan_sp,Bryozoa,Bryozoan: branched,branched_bryozoan,Bryozoan: branched,Bryozoan: branched,Nonmotile,branched bryozoan OTHER THAN than Crisia_sp
brachiopod,Brachiopoda,Brachiopod,brachiopod,Brachiopod sp.,Brachiopod,Nonmotile,
calcareous_tubeworm,Annelida,Tubeworm: calcareous,calcareous_tubeworm,Calcareous tubeworm,Calcareous tubeworm,Nonmotile,"Serpula spp., most likely Pseudochitinopoma [THESE ARE VERY DIFFERENT GENERA?]"
Chelysoma_productum,Chordata,Tunicate,chelysoma_productum,Chelysoma productum,Brown tunicate,Nonmotile,brown tunicate
Scallop_sp,Mollusca,Scallop,scallop_sp,Scallop sp.,Scallop sp.,Nonmotile,scallop OTHER THAN CHLAMYS OR HINNITES
Chlamys_rhubida,Mollusca,Scallop,chlamys_rhubida,Chlamys rubida,Pink scallop,Nonmotile,
Chorilia_longipes,Arthropoda,Majoidae crab,chorilia_longipes,Chorilia longipes,Longhord decorator crab,Motile,Longhorn decorator crab
Corella_willmeriana,Chordata,Tunicate,corella_willmeriana,Corella willmeriana,Clear tunicate,Nonmotile,clear tunicate
crab_sp,Arthropoda,Cancridae crab,crab_sp,Crab sp. ,Crab,Motile,specifically different looking than Glebocarcinus_oregonensis
Cranopsis_cucullata,Mollusca,Limpet,cranopsis_cucullata,Cranopsis cucullata,Hooded keyhole limpet,Nonmotile,
Crepidula,Mollusca,Limpet,crepidula_sp,Crepidula sp.,Slipper snail,Nonmotile,slipper snail (limpet)
